time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010525349642	166.812	30.2049	4.35338	0.323599	-0.111579	lidar	0.585898	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	166.718	30.1759	3.35338	0.408545	0.0551334	radar	3.00201	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	169.1	31.3728	3.03466	0.469454	0.0590482	lidar	0.0316513	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	169.123	31.3764	3.03739	0.46783	0.0609714	radar	0.148848	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	172.161	32.3423	4.02788	0.16804	-0.169403	lidar	0.550634	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	172.126	32.3192	3.19843	0.129559	-0.206322	radar	1.66355	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	174.647	33.4521	2.98804	0.481489	0.147266	lidar	0.522903	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	174.629	33.4502	2.86823	0.490514	0.159458	radar	0.0763824	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	177.025	34.2079	2.88054	0.246311	-0.0998203	lidar	0.292408	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	177.035	34.205	2.69006	0.232664	-0.104527	radar	0.245837	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	180.131	35.1365	4.11596	0.298538	0.00273408	lidar	0.672646	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	179.998	35.1188	2.87076	0.357821	0.0887221	radar	3.89937	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	182.594	35.7567	3.2167	0.178165	-0.0802029	lidar	0.157364	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.496	35.7348	2.64518	0.166746	-0.0905142	radar	1.98305	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	184.732	36.5086	2.7541	0.382901	0.102834	lidar	0.153457	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	184.727	36.5109	2.41703	0.407442	0.135692	radar	0.158851	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	186.939	36.9486	2.68847	0.103261	-0.140677	lidar	0.34661	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	186.997	36.9563	2.59227	0.0689251	-0.170992	radar	1.16749	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	189.461	37.3983	3.03338	0.202923	0.0200165	lidar	0.207597	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	189.476	37.4055	2.44478	0.243944	0.050102	radar	0.866985	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	191.731	37.569	2.67917	0.00490349	-0.130797	lidar	0.1483	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	191.696	37.5581	2.32028	-0.015697	-0.161101	radar	0.305527	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	193.474	37.2796	2.04195	-0.203035	-0.177788	lidar	0.0235085	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
1477010536349642	193.503	37.2861	2.21522	-0.190956	-0.151938	radar	0.1467	193.555	37.4234	193.738	37.3853	2.02462	0.0250452
1477010537349642	195.976	37.3875	3.25048	0.216206	0.192789	lidar	0.870354	195.991	37.3991	195.762	37.3598	1.92349	-0.072386
1477010537349642	195.818	37.3946	2.24581	0.277103	0.258851	radar	4.38254	195.507	37.4891	195.762	37.3598	1.92349	-0.072386
1477010538349642	197.722	37.7358	2.28539	0.224061	0.0670891	lidar	0.147741	197.725	37.7285	197.683	37.2395	1.81869	-0.159495
